freebase:id,wikipedia:id,viaf:id,lcnaf:id,moma:id,vanda:id,ima:id,ch:id,ch:name
/m/0gx8fy,6924542,0,0,0,75283,0,18042663,"Nicolas Pineau"
/m/0kt1vq,7649599,0,0,0,0,0,18042665,"Charles de Wailly"
/m/09_wqs,3784876,0,0,0,0,0,18042671,"Giacomo Quarenghi"
/m/0b1_by,3827106,0,0,0,0,0,18042675,"Giuseppe Valadier"
/m/03hjqg9,15137196,0,0,0,0,0,18042679,"Pompeo Marchesi"
,492105,0,0,0,75379,18294921,18042681,Unknown
,19940109,0,0,0,0,0,18042685,"Marie Antoinette, Queen of France"
/m/07sq_b,2627241,0,0,0,0,0,18042687,"Jean-Siméon Rousseau"
,5924987,0,0,0,0,0,18042689,"Victor Louis"
/m/03csd7n,14062739,0,0,0,0,0,18042693,"Giocondo Albertolli"
,53408,0,0,2308,0,0,18042695,"Michael Graves"
/m/0gn7jg,6773379,7440183,0,0,0,0,18042697,"Germain Boffrand"
/m/0gg7fn6,31059811,0,0,0,0,0,18042707,"Charles-François Hutin"
,53613,0,0,3910,34579,0,18042729,"Richard Meier"
/m/0383hl,749755,0,0,1784,0,0,18042743,"Alexandra Exter"
/m/026n1fh,8000541,0,0,0,0,0,18042789,"Giuseppe Bernardino Bison"
,8779131,0,0,0,0,0,18042791,"Lewis Davis"
,10052997,0,0,0,0,0,18042803,"Allen Lewis"
/m/0gttlsq,31804004,0,0,0,0,0,18042805,"Marcus de Bye"
/m/0fpk3w3,29610160,0,0,0,0,0,18042813,"Cornelis Visscher"
,1226508,0,0,5627,44593,18300225,18042821,"Saul Steinberg"
,7446914,0,0,0,0,0,18042827,"Francesco Salviati"
,2427645,0,0,0,0,0,18042839,"Ando Hiroshige"
,33815153,0,0,0,0,0,18042849,"Jean DuBois"
/m/019fcl,186100,0,0,0,0,0,18042853,"Arnold Joost van Keppel"
/m/06pl9v,2137897,0,0,0,0,0,18042861,"Rosalba Carriera"
/m/05zqrxb,22715669,0,0,0,0,0,18042871,"François Chauveau"
,1546881,0,0,0,0,0,18042873,"Louis XIV, King of France"
/m/02r1ybn,11156214,0,0,0,0,0,18042877,"Mauro Antonio Tesi"
,318505,0,0,6390,38759,0,18042881,"Robert Wilson"
/m/0gw_68n,32017546,0,0,0,9666,0,18042887,"Etienne Delaune"
,492105,0,0,0,0,0,18042891,Unknown
/m/03d13r0,14343534,0,0,0,0,0,18042893,"Pierino da Vinci"
,332542,0,0,0,0,0,18042897,"Ranuccio Farnese"
/m/08x3kq,3174541,0,0,0,0,0,18042899,"Jean-Jacques Lequeu"
/m/086zrw,2853714,46833997,0,0,0,0,18042909,"Augustus Charles Pugin"
,6769946,0,0,0,0,0,18042925,"Antonio Sarti"
,69246,0,0,0,0,0,18042933,"Pope Pius VII"
/m/02w5sr8,12436909,0,0,0,0,0,18042935,"Giovanni Volpato"
/m/04093,15770,0,0,0,8168,0,18042987,"Jules Verne"
/m/037fkx,741290,0,0,0,0,0,18042989,"Nathaniel Currier"
,5635,0,0,0,0,0,18043003,"Christopher Columbus"
/m/082db,33163,0,0,0,0,0,18043005,"Wolfgang Amadeus Mozart"
,31733682,0,0,0,0,0,18043019,"George Baxter"
/m/0p_nx,102989,0,0,4136,0,0,18043027,"Alphonse Maria Mucha"
/m/077d8t,2374232,0,0,0,12192,18299867,18043031,"Giovanni Benedetto Castiglione"
,44525,0,0,0,39613,18305005,18043051,Raphael
,113575,0,0,0,40645,18295411,18043053,"Robert Adam"
,4254144,0,0,0,3469,18295685,18043087,"Rembrandt Harmensz van Rijn"
/m/0g_6k,63093,0,0,4016,0,0,18043099,"Joan Miró"
/m/09qpn6,3624721,0,0,0,57247,0,18043105,"Francesco Solimena"
/m/06wgyr,2214279,0,0,0,32744,0,18043115,"Heinrich Aldegrever"
/m/0gct_,60203,42630086,0,3832,53324,18298025,18043119,"Henri Matisse"
/m/069k5m,1965843,64934320,0,0,0,0,18043135,"Elihu Vedder"
/m/04qb96c,19909485,0,0,0,0,0,18043137,"Ashbel Holmes Barney"
,103362,0,0,4942,0,0,18043157,"Diego Rivera"
/m/05849t,1527179,0,0,0,0,0,18043161,"Peter Julian"
